wbrs_description,score,threat_mnemonic,threat_description
Lingerie and Swimsuits,10,NULL,NULL
Humor,10,NULL,NULL
Lotteries,10,NULL,NULL
Web-based Email,10,NULL,NULL
Online Meetings,10,NULL,NULL
Military,10,NULL,NULL
Not Actionable,10,NULL,NULL
Nature,10,NULL,NULL
News,10,NULL,NULL
Non-governmental Organizations,10,NULL,NULL
Non-sexual Nudity,10,NULL,NULL
Online Storage and Backup,10,NULL,NULL
Peer File Transfer,10,NULL,NULL
Parked Domains,10,NULL,NULL
Organizational Email,10,NULL,NULL
Personal Sites,10,NULL,NULL
Cheating and Plagiarism,10,NULL,NULL
Professional Networking,10,NULL,NULL
Politics,10,NULL,NULL
Pornography,10,NULL,NULL
Paranormal,10,NULL,NULL
Personal VPN,10,NULL,NULL
Reference,10,NULL,NULL
Religion,10,NULL,NULL
Real Estate,10,NULL,NULL
SaaS and B2B,10,NULL,NULL
Science and Technology,10,NULL,NULL
Society and Culture,10,NULL,NULL
Shopping,10,NULL,NULL
Social Networking,10,NULL,NULL
Social Science,10,NULL,NULL
Sports and Recreation,10,NULL,NULL
Search Engines and Portals,10,NULL,NULL
Software Updates,10,NULL,NULL
Sex Education,10,NULL,NULL
Tobacco,10,NULL,NULL
Online Trading,10,NULL,NULL
Web Page Translation,10,NULL,NULL
Transportation,10,NULL,NULL
Travel,10,NULL,NULL
Streaming Video,10,NULL,NULL
Internet Telephony,10,NULL,NULL
Weapons,10,NULL,NULL
Web Hosting,10,NULL,NULL
Test Category 1 updated,10,NULL,NULL
Test Category 2,10,NULL,NULL
